Task Name,Start Date,Finish Date,Resource Names,Type,Priority,Project,Phase,Notes
Program Kickoff,2025-01-02,2025-01-02,Management,milestone,Critical,Multi-Year Program,Planning,Launch of 3-year development program
GT2560 Concept Phase,2025-01-05,2025-02-28,Sarah Chen,task,High,GT2560,Concept,Small frame turbo for 2.0L engines
GT2560 Market Research,2025-01-05,2025-01-20,Product Team,task,High,GT2560,Concept,Target market analysis
GT2560 Requirements Doc,2025-01-22,2025-02-05,Sarah Chen,task,High,GT2560,Concept,Define technical requirements
GT2560 Concept Review,2025-02-10,2025-02-10,Management,milestone,High,GT2560,Concept,Gate 1 approval
GT2560 Compressor Design,2025-02-12,2025-03-15,Sarah Chen,task,High,GT2560,Design,Aero design and CFD
GT2560 Turbine Design,2025-02-20,2025-03-20,Sarah Chen,task,High,GT2560,Design,Turbine wheel optimization
GT2560 Bearing Selection,2025-03-01,2025-03-25,Mike Torres,task,Medium,GT2560,Design,Journal vs ball bearing
GT2560 Housing Design,2025-03-10,2025-04-15,Jake Morrison,task,High,GT2560,Design,Cast iron housings
GT2560 Design Review,2025-04-18,2025-04-18,Engineering,milestone,High,GT2560,Design,Gate 2 approval
GT2560 Prototype Build,2025-04-20,2025-06-15,Manufacturing,task,High,GT2560,Prototype,Build 5 prototypes
GT2560 Cold Flow Test,2025-06-18,2025-06-25,Lab Team,task,High,GT2560,Testing,Compressor map validation
GT2560 Hot Gas Test,2025-06-28,2025-07-10,Lab Team,task,High,GT2560,Testing,Performance characterization
GT2560 Durability Test,2025-07-15,2025-08-30,Lab Team,task,Critical,GT2560,Testing,500 hour endurance
GT2560 Engine Dyno,2025-09-01,2025-09-20,Dyno Team,task,High,GT2560,Validation,On-engine testing
GT2560 Design Freeze,2025-09-25,2025-09-25,Engineering,milestone,Critical,GT2560,Design,Release to production
GT2860 Concept Phase,2025-02-01,2025-03-31,Sarah Chen,task,High,GT2860,Concept,Mid-size turbo for 2.5L engines
GT2860 Market Research,2025-02-01,2025-02-20,Product Team,task,High,GT2860,Concept,Competitive analysis
GT2860 Requirements Doc,2025-02-22,2025-03-10,Sarah Chen,task,High,GT2860,Concept,Performance targets
